FU129	Cycle	RC	S0	S1	S2	S3	S4	S5	qPCR Temp	
	-40	1	3928	0	0	0	0	0	31.01	
	-40	2	0	3901	3896	3813	0	0	31.01	
	-40	3	0	0	0	3836	3930	0	31.01	
	-40	4	0	0	0	0	3956	3948	31.01	
	-40	5	0	0	0	0	0	0	31.01	
	-40	6	0	0	0	0	0	0	31.01	
	-40	7	0	0	0	0	0	0	31.01	
	-40	8	0	0	0	0	0	0	31.01	
	-30	1	488351	0	0	0	0	0	31.01	
	-30	2	0	51442	250917	66060	0	0	31.01	
	-30	3	0	0	0	5704	160250	0	31.01	
	-30	4	0	0	0	0	160394	27495	31.01	
	-30	5	0	0	0	0	0	0	31.01	
	-30	6	0	0	0	0	0	0	31.01	
	-30	7	0	0	0	0	0	0	31.01	
	-30	8	0	0	0	0	0	0	31.01	
	-20	1	3893	3899	3886	3868	4030	3980	31.00	
	-20	2	3904	3893	3863	3825	4014	3966	31.00	
	-20	3	3923	3907	3866	3845	4018	3996	31.00	
	-20	4	3905	3917	3867	3812	4050	3996	31.00	
	-20	5	3892	3888	3862	3857	4016	3996	31.00	
	-20	6	3887	3890	3872	3865	4015	3985	31.00	
	-20	7	3906	3922	3851	3851	4002	3996	31.00	
	-20	8	3918	3917	3843	3837	4002	3973	31.00	
	-10	1	22723	7453	5485	5107	6747	4281	31.00	
	-10	2	33949	11012	7507	16942	37271	7456	31.00	
	-10	3	42151	10857	7106	36486	50615	8137	31.00	
	-10	4	49690	12606	8220	25625	161972	19065	31.00	
	-10	5	40736	15739	10959	95562	14924	4593	31.00	
	-10	6	41574	11660	7921	47475	10624	4462	31.00	
	-10	7	36311	9863	6645	18519	32044	6706	31.00	
	-10	8	23386	7508	5628	5200	6874	4306	31.00	
	0	1	20413	7376	5431	5110	6665	4323	31.06	
	0	2	53724	10277	6409	23690	80775	101501	31.06	
	0	3	49160	9602	6985	129721	37403	59428	31.06	
	0	4	63702	10103	6187	43688	271602	97184	31.06	
	0	5	49632	16765	10713	168409	31372	106364	31.06	
	0	6	41724	11080	7156	31238	21862	107539	31.06	
	0	7	41944	10130	6778	74976	44647	107689	31.06	
	0	8	21225	7450	5600	5189	6872	4321	31.06	
	1	1	20895	7347	5437	5124	6740	4315	31.47	
	1	2	58642	11181	6780	46732	96818	45842	31.47	
	1	3	70833	11591	8128	251002	73420	47035	31.47	
	1	4	68318	11344	6881	109863	351434	47386	31.47	
	1	5	57329	18865	11596	225085	29939	47939	31.47	
	1	6	58717	12946	7763	60688	16904	45477	31.47	
	1	7	47773	11400	7288	111298	55668	45015	31.47	
	1	8	21697	7452	5617	5237	7113	4328	31.47	
	2	1	21011	7375	5456	5148	6731	4299	31.56	
	2	2	58931	11218	6802	46489	96458	46014	31.56	
	2	3	71404	11633	8188	251664	72782	46829	31.56	
	2	4	68240	11361	6870	108140	348537	47460	31.56	
	2	5	60996	19723	12099	251275	31118	48082	31.56	
	2	6	59259	13069	7812	60424	16877	45426	31.56	
	2	7	52642	11869	7533	129185	62306	45045	31.56	
	2	8	21760	7445	5618	5218	7117	4343	31.56	
	3	1	21113	7351	5462	5146	6744	4316	31.69	
	3	2	59282	11243	6813	46480	96506	46024	31.69	
	3	3	69471	11530	8106	241099	70158	46150	31.69	
	3	4	68979	11426	6902	108608	351400	47532	31.69	
	3	5	61033	19731	12120	248176	30925	48215	31.69	
	3	6	60742	13260	7877	61661	17045	45426	31.69	
	3	7	51886	11875	7527	126021	61456	45094	31.69	
